French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
un pan,часть; полa,Un <b>pan</b> de mur.,<b>Часть</b> стены.,🧱,m
une révélation,откровение,Quelle <b>révélation</b> !,Какое <b>откровение</b>!,💡,f
un achat,покупка,Faire des <b>achats</b>.,Делать <b>покупки</b>.,🛍️,m
"illégal, illégale",незаконный,C'est <b>illégal</b>.,Это <b>незаконно</b>.,🚫,adj
une gaieté,веселье,Avec <b>gaieté</b>.,С <b>весельем</b>.,😄,f
"excitant, excitante",захватывающий,Une nouvelle <b>excitante</b>.,<b>Захватывающая</b> новость.,🎉,adj
un teint,цвет лица,Un beau <b>teint</b>.,Красивый <b>цвет лица</b>.,😊,m
"brisé, brisée",разбитый,Le cœur <b>brisé</b>.,<b>Разбитое</b> сердце.,💔,adj
un conducteur,водитель,Le <b>conducteur</b> du bus.,<b>Водитель</b> автобуса.,🚌,m
"maternel, maternelle",материнский,L'amour <b>maternel</b>.,<b>Материнская</b> любовь.,❤️,adj
une extrémité,конец; крайность,À l'<b>extrémité</b> de la rue.,В <b>конце</b> улицы.,📍,f
un viol,изнасилование,Le <b>viol</b> est un crime.,<b>Изнасилование</b> — преступление.,⚖️,m
une coiffure,причёска,Une belle <b>coiffure</b>.,Красивая <b>причёска</b>.,💇,f
une fringue,одежда (разг.),J'achète des <b>fringues</b>.,Я покупаю <b>шмотки</b>.,👗,f
mis,поставленный; одетый,Bien <b>mis</b>.,Хорошо <b>одетый</b>.,👔,adj
un change,обмен; подгузник,Le <b>change</b> du bébé.,<b>Подгузник</b> малыша.,👶,m
une noix,орех,Une <b>noix</b> de coco.,<b>Кокосовый</b> орех.,🥥,f
Virginie,Вирджиния,La <b>Virginie</b> est un état américain.,<b>Вирджиния</b> — американский штат.,🇺🇸,m
un tigre,тигр,Le <b>tigre</b> rugit.,<b>Тигр</b> рычит.,🐅,m
une charrette,телега,La <b>charrette</b> à foin.,<b>Телега</b> с сеном.,🛒,f
émettre,издавать; выпускать,<b>Émettre</b> un son.,<b>Издавать</b> звук.,🔊,v
un ski,лыжа,Faire du <b>ski</b>.,Кататься на <b>лыжах</b>.,⛷️,m
une institution,институт,Une <b>institution</b> financière.,Финансовое <b>учреждение</b>.,🏦,f
ménager,беречь; щадить,<b>Ménage</b> tes forces.,<b>Береги</b> силы.,💪,v
un trafic,трафик; торговля,Le <b>trafic</b> de drogue.,<b>Торговля</b> наркотиками.,🚫,m
une chevelure,шевелюра,Une belle <b>chevelure</b>.,Красивая <b>шевелюра</b>.,💇,f
un chêne,дуб,Un vieux <b>chêne</b>.,Старый <b>дуб</b>.,🌳,m
une outre,бурдюк,Une <b>outre</b> de vin.,<b>Бурдюк</b> вина.,🍷,f
un menu,меню,Le <b>menu</b> du jour.,<b>Меню</b> дня.,📋,m
une expédition,экспедиция,Une <b>expédition</b> polaire.,Полярная <b>экспедиция</b>.,🏔️,f
une invention,изобретение,Une grande <b>invention</b>.,Великое <b>изобретение</b>.,💡,f
marine,морской; тёмно-синий,Bleu <b>marine</b>.,<b>Тёмно-синий</b>.,🌊,adj
accumuler,накапливать,<b>Accumule</b> des points.,<b>Накапливай</b> очки.,📊,v
un refuge,убежище,Un <b>refuge</b> pour animaux.,<b>Приют</b> для животных.,🏠,m
"menu, menue",мелкий,Des <b>menus</b> détails.,<b>Мелкие</b> детали.,🔍,adj
un pro,профи (разг.),C'est un vrai <b>pro</b>.,Он настоящий <b>профи</b>.,💼,m
baptiser,крестить; называть,<b>Baptiser</b> un enfant.,<b>Крестить</b> ребёнка.,⛪,v
un fouet,кнут,Le <b>fouet</b> claque.,<b>Кнут</b> щёлкает.,🪢,m
une corne,рог,Les <b>cornes</b> du taureau.,<b>Рога</b> быка.,🐂,f
"saoul, saoule",пьяный,Il est <b>saoul</b>.,Он <b>пьян</b>.,🍺,adj
une technique,техника,C'est une bonne <b>technique</b>.,Это хорошая <b>техника</b>.,🔧,f
un bonnet,шапка,Mets ton <b>bonnet</b>.,Надень <b>шапку</b>.,🧢,m
"commandant, commandante",командующий,L'officier <b>commandant</b>.,<b>Командующий</b> офицер.,🎖️,adj
un pavé,булыжник,Les <b>pavés</b> de la rue.,<b>Булыжники</b> на улице.,🧱,m
une haie,изгородь,La <b>haie</b> du jardin.,<b>Изгородь</b> сада.,🌿,f
un top,топ; лучшее,C'est le <b>top</b> !,Это <b>супер</b>!,🔝,m
agenouiller,становиться на колени,<b>Agenouille</b>-toi.,<b>Встань на колени</b>.,🧎,v
un bac,паром; бак,Le <b>bac</b> traverse la rivière.,<b>Паром</b> переправляется.,⛴️,m
un dégât,ущерб,Les <b>dégâts</b> sont importants.,<b>Ущерб</b> значительный.,💥,m
une édition,издание,La nouvelle <b>édition</b>.,Новое <b>издание</b>.,📚,f
effectuer,выполнять,<b>Effectuer</b> une tâche.,<b>Выполнить</b> задачу.,✅,v
une routine,рутина,Ma <b>routine</b> matinale.,Моя утренняя <b>рутина</b>.,📅,f
"caché, cachée",скрытый,Un trésor <b>caché</b>.,<b>Скрытое</b> сокровище.,🗺️,adj
un ressort,пружина,Le <b>ressort</b> est cassé.,<b>Пружина</b> сломана.,🔧,m
un barreau,прут; адвокатура,Les <b>barreaux</b> de la prison.,<b>Прутья</b> тюрьмы.,🔒,m
une narine,ноздря,L'air entre par les <b>narines</b>.,Воздух входит через <b>ноздри</b>.,👃,f
boiter,хромать,Il <b>boite</b> depuis l'accident.,Он <b>хромает</b> после аварии.,🦵,v
classer,классифицировать,<b>Classe</b> les documents.,<b>Рассортируй</b> документы.,📁,v
un micro,микрофон,Parle dans le <b>micro</b>.,Говори в <b>микрофон</b>.,🎤,m
gay,гей,Le mariage <b>gay</b>.,<b>Однополый</b> брак.,🏳️‍🌈,adj
"brûlé, brûlée",сгоревший,Le pain est <b>brûlé</b>.,Хлеб <b>подгорел</b>.,🔥,adj
"interdit, interdite",запрещённый,C'est <b>interdit</b>.,Это <b>запрещено</b>.,🚫,adj
un sous-sol,подвал,Descends au <b>sous-sol</b>.,Спустись в <b>подвал</b>.,🏚️,m
piétiner,топтаться,Ne <b>piétine</b> pas les fleurs.,Не <b>топчи</b> цветы.,🌸,v
un prostitué,проститут (м.р.),Le <b>prostitué</b> travaille la nuit.,<b>Проститут</b> работает ночью.,🚫,m
une pelle,лопата,Prends la <b>pelle</b>.,Возьми <b>лопату</b>.,🪣,f
une dentelle,кружево,Une robe en <b>dentelle</b>.,Платье из <b>кружева</b>.,👗,f
hériter,наследовать,<b>Hériter</b> d'une fortune.,<b>Унаследовать</b> состояние.,💰,v
gâter,баловать,Ne <b>gâte</b> pas l'enfant.,Не <b>балуй</b> ребёнка.,🍬,v
une malédiction,проклятие,Une <b>malédiction</b> ancienne.,Древнее <b>проклятие</b>.,🧙,f
une vigne,виноградник,La <b>vigne</b> pousse.,<b>Виноград</b> растёт.,🍇,f
une profession,профессия,Quelle est ta <b>profession</b> ?,Какая у тебя <b>профессия</b>?,💼,f
triompher,торжествовать,<b>Triompher</b> de l'ennemi.,<b>Победить</b> врага.,🏆,v
progresser,прогрессировать,Tu <b>progresses</b> bien.,Ты хорошо <b>продвигаешься</b>.,📈,v
une bouffée,порыв; затяжка,Une <b>bouffée</b> d'air frais.,<b>Глоток</b> свежего воздуха.,🌬️,f
une ficelle,верёвка,Attache avec une <b>ficelle</b>.,Привяжи <b>верёвкой</b>.,🪢,f
un moulin,мельница,Un <b>moulin</b> à vent.,Ветряная <b>мельница</b>.,🌬️,m
un traité,договор,Signer un <b>traité</b>.,Подписать <b>договор</b>.,📝,m
clouer,прибивать,<b>Cloue</b> la planche.,<b>Прибей</b> доску.,🔨,v
grossir,толстеть,Je ne veux pas <b>grossir</b>.,Я не хочу <b>толстеть</b>.,⚖️,v
"dégoûtant, dégoûtante",отвратительный,C'est <b>dégoûtant</b> !,Это <b>отвратительно</b>!,🤢,adj
un biscuit,печенье,Un <b>biscuit</b> au chocolat.,Шоколадное <b>печенье</b>.,🍪,m
une circulation,движение,La <b>circulation</b> est dense.,<b>Движение</b> плотное.,🚗,f
"agressif, agressive",агрессивный,Un chien <b>agressif</b>.,<b>Агрессивная</b> собака.,🐕,adj
une graine,семя,Plante des <b>graines</b>.,Посади <b>семена</b>.,🌱,f
une ampoule,лампочка; мозоль,L'<b>ampoule</b> a grillé.,<b>Лампочка</b> перегорела.,💡,f
sursauter,вздрагивать,J'ai <b>sursauté</b>.,Я <b>вздрогнул</b>.,😲,v
un attentat,теракт,Un <b>attentat</b> terroriste.,Террористический <b>теракт</b>.,💥,m
choper,поймать (разг.),J'ai <b>chopé</b> un rhume.,Я <b>подхватил</b> простуду.,🤧,v
refléter,отражать,Le miroir <b>reflète</b> ton image.,Зеркало <b>отражает</b> твой образ.,🪞,v
une industrie,промышленность,L'<b>industrie</b> automobile.,Автомобильная <b>промышленность</b>.,🏭,f
un héritage,наследство,Recevoir un <b>héritage</b>.,Получить <b>наследство</b>.,💎,m
un u,буква U,Le mot s'écrit avec un <b>u</b>.,Слово пишется с <b>u</b>.,🔤,m
une ride,морщина,Les <b>rides</b> du visage.,<b>Морщины</b> на лице.,👴,f
une audience,аудиенция; слушание,Une <b>audience</b> au tribunal.,<b>Слушание</b> в суде.,⚖️,f
analyser,анализировать,<b>Analyse</b> les données.,<b>Проанализируй</b> данные.,📊,v
effleurer,слегка касаться,Ses doigts <b>effleurent</b> ma joue.,Его пальцы <b>касаются</b> моей щеки.,🤚,v
sublime,возвышенный,Un paysage <b>sublime</b>.,<b>Возвышенный</b> пейзаж.,✨,adj
une manifestation,демонстрация,Une <b>manifestation</b> pacifique.,Мирная <b>демонстрация</b>.,📢,f
une grenade,граната,Lancer une <b>grenade</b>.,Бросить <b>гранату</b>.,💣,f
une sonnette,звонок,Appuie sur la <b>sonnette</b>.,Нажми на <b>звонок</b>.,🔔,f
une munition,боеприпас,Les <b>munitions</b> sont épuisées.,<b>Боеприпасы</b> закончились.,🔫,f
une baie,бухта; ягода,Une <b>baie</b> vitrée.,<b>Панорамное</b> окно.,🪟,f
une fiche,карточка; штекер,Remplis cette <b>fiche</b>.,Заполни эту <b>карточку</b>.,📋,f
une voûte,свод,La <b>voûte</b> de la cathédrale.,<b>Свод</b> собора.,⛪,f
un revers,оборотная сторона,Le <b>revers</b> de la médaille.,<b>Оборотная сторона</b> медали.,🏅,m
une étendue,пространство,Une vaste <b>étendue</b>.,Обширное <b>пространство</b>.,🌍,f
un derrière,зад,Il est tombé sur le <b>derrière</b>.,Он упал на <b>зад</b>.,😅,m
une faculté,способность; факультет,La <b>faculté</b> de médecine.,Медицинский <b>факультет</b>.,🏥,f
fier,доверять; полагаться,Se <b>fier</b> à quelqu'un.,<b>Полагаться</b> на кого-то.,🤝,v
élire,избирать,<b>Élire</b> un président.,<b>Избрать</b> президента.,🗳️,v
un logement,жильё,Je cherche un <b>logement</b>.,Я ищу <b>жильё</b>.,🏠,m
"postal, postale",почтовый,Un code <b>postal</b>.,<b>Почтовый</b> индекс.,📮,adj
une artillerie,артиллерия,L'<b>artillerie</b> lourde.,Тяжёлая <b>артиллерия</b>.,💥,f
un tsar,царь,Le <b>tsar</b> de Russie.,Русский <b>царь</b>.,👑,m
un tennis,теннис,Jouer au <b>tennis</b>.,Играть в <b>теннис</b>.,🎾,m
un état-major,штаб,L'<b>état-major</b> de l'armée.,<b>Штаб</b> армии.,🎖️,m
une mamie,бабушка (разг.),C'est ma <b>mamie</b>.,Это моя <b>бабушка</b>.,👵,f
nord,северный,Le pôle <b>nord</b>.,<b>Северный</b> полюс.,🧭,adj
une hypothèse,гипотеза,Une <b>hypothèse</b> intéressante.,Интересная <b>гипотеза</b>.,🤔,f
une casserole,кастрюля,Mets la <b>casserole</b> sur le feu.,Поставь <b>кастрюлю</b> на огонь.,🍲,f
une réplique,реплика,Une <b>réplique</b> cinglante.,Язвительная <b>реплика</b>.,💬,f
un site,сайт; место,Le <b>site</b> internet.,Интернет-<b>сайт</b>.,🌐,m
un rasoir,бритва,Un <b>rasoir</b> électrique.,Электрическая <b>бритва</b>.,🪒,m
"sentimental, sentimentale",сентиментальный,Un film <b>sentimental</b>.,<b>Сентиментальный</b> фильм.,❤️,adj
brandir,размахивать,<b>Brandir</b> une épée.,<b>Размахивать</b> мечом.,⚔️,v
un rail,рельс,Le train roule sur les <b>rails</b>.,Поезд едет по <b>рельсам</b>.,🚂,m
une miette,крошка,Pas une <b>miette</b>.,Ни <b>крошки</b>.,🍞,f
un propre,чистота; собственное,Le <b>propre</b> de l'homme.,<b>Особенность</b> человека.,✨,m
une ambiance,атмосфера,L'<b>ambiance</b> est bonne.,<b>Атмосфера</b> хорошая.,🎉,f
revêtir,надевать; облекать,<b>Revêtir</b> un uniforme.,<b>Надеть</b> форму.,👔,v
feindre,притворяться,<b>Feindre</b> la surprise.,<b>Притвориться</b> удивлённым.,🎭,v
une pénombre,полумрак,Dans la <b>pénombre</b>.,В <b>полумраке</b>.,🌑,f
un pape,папа римский,Le <b>Pape</b> François.,<b>Папа</b> Франциск.,⛪,m
une inscription,надпись; регистрация,L'<b>inscription</b> sur le mur.,<b>Надпись</b> на стене.,✍️,f
un gang,банда,Un <b>gang</b> de criminels.,<b>Банда</b> преступников.,👥,m
"européen, européenne",европейский,L'Union <b>européenne</b>.,<b>Европейский</b> союз.,🇪🇺,adj
frémir,дрожать,<b>Frémir</b> de peur.,<b>Дрожать</b> от страха.,😨,v
offenser,оскорблять,Je ne voulais pas t'<b>offenser</b>.,Я не хотел тебя <b>оскорбить</b>.,😔,v
"sanglant, sanglante",кровавый,Une bataille <b>sanglante</b>.,<b>Кровавая</b> битва.,⚔️,adj
une baleine,кит,La <b>baleine</b> bleue.,Синий <b>кит</b>.,🐋,f
une guise,образ; манера,À sa <b>guise</b>.,На свой <b>лад</b>.,🤷,f
un gris,серый (субст.),Le <b>gris</b> est neutre.,<b>Серый</b> нейтрален.,🩶,m
une caserne,казарма,La <b>caserne</b> des pompiers.,Пожарная <b>часть</b>.,🚒,f
une initiative,инициатива,Prendre l'<b>initiative</b>.,Взять <b>инициативу</b>.,💡,f
flanquer,швырять; давать,<b>Flanque</b>-le dehors !,<b>Вышвырни</b> его!,🚪,v
un veau,телёнок; телятина,Un steak de <b>veau</b>.,Стейк из <b>телятины</b>.,🥩,m
un casino,казино,Jouer au <b>casino</b>.,Играть в <b>казино</b>.,🎰,m
un écrit,текст; письменная работа,Un examen <b>écrit</b>.,<b>Письменный</b> экзамен.,📝,m
cirer,натирать воском,<b>Cire</b> tes chaussures.,<b>Начисти</b> ботинки.,👞,v
une tarte,пирог,Une <b>tarte</b> aux pommes.,Яблочный <b>пирог</b>.,🥧,f
plaider,защищать в суде,<b>Plaider</b> non coupable.,<b>Заявить</b> о невиновности.,⚖️,v
une quête,поиск; сбор,Une <b>quête</b> spirituelle.,Духовный <b>поиск</b>.,🔍,f
une came,наркотик (арго),Il est accro à la <b>came</b>.,Он подсел на <b>наркоту</b>.,💊,f
un phénomène,феномен; явление,C'est un <b>phénomène</b> naturel.,Это природное <b>явление</b>.,🌪️,m
"maladroit, maladroite",неуклюжий,Il est <b>maladroit</b>.,Он <b>неуклюжий</b>.,🤕,adj
contrarier,раздражать,Ça me <b>contrarie</b>.,Это меня <b>раздражает</b>.,😤,v
un mitrailleur,пулемётчик,Le <b>mitrailleur</b> tire.,<b>Пулемётчик</b> стреляет.,🔫,m
une promotion,повышение,Obtenir une <b>promotion</b>.,Получить <b>повышение</b>.,📈,f
un nain,карлик,Blanche-Neige et les sept <b>nains</b>.,Белоснежка и семь <b>гномов</b>.,🧙,m
un syndicat,профсоюз,Le <b>syndicat</b> des travailleurs.,<b>Профсоюз</b> рабочих.,👷,m
un ivrogne,пьяница,C'est un <b>ivrogne</b>.,Он <b>пьяница</b>.,🍺,m
un climat,климат,Le <b>climat</b> tropical.,Тропический <b>климат</b>.,🌴,m
stopper,останавливать,<b>Stoppe</b> la machine.,<b>Останови</b> машину.,🛑,v
un slip,трусы,Mets ton <b>slip</b>.,Надень <b>трусы</b>.,🩲,m
une élégance,элегантность,Avec <b>élégance</b>.,С <b>элегантностью</b>.,✨,f
un servant,прислужник,Le <b>servant</b> de messe.,<b>Служка</b> на мессе.,⛪,m
un pyjama,пижама,Mets ton <b>pyjama</b>.,Надень <b>пижаму</b>.,🛏️,m
"luisant, luisante",блестящий,Des yeux <b>luisants</b>.,<b>Блестящие</b> глаза.,✨,adj
un gage,залог,En <b>gage</b> d'amour.,В <b>залог</b> любви.,💍,m
une majorité,большинство,La <b>majorité</b> des gens.,<b>Большинство</b> людей.,👥,f
détenir,удерживать; владеть,<b>Détenir</b> un record.,<b>Держать</b> рекорд.,🏆,v
un bracelet,браслет,Un <b>bracelet</b> en or.,Золотой <b>браслет</b>.,📿,m
"un héritier, une héritière",наследник,C'est l'<b>héritier</b> du trône.,Это <b>наследник</b> престола.,👑,m/f
un psy,психолог (разг.),Je vois un <b>psy</b>.,Я хожу к <b>психологу</b>.,🧠,m
une durée,длительность,La <b>durée</b> du film.,<b>Продолжительность</b> фильма.,⏱️,f
"allié, alliée",союзный,Un pays <b>allié</b>.,<b>Союзная</b> страна.,🤝,adj
un clan,клан,Le <b>clan</b> familial.,Семейный <b>клан</b>.,👨‍👩‍👧‍👦,m
souligner,подчёркивать,<b>Souligne</b> le mot.,<b>Подчеркни</b> слово.,📝,v
un locataire,арендатор,Le <b>locataire</b> de l'appartement.,<b>Арендатор</b> квартиры.,🏠,m
illuminer,освещать,Le soleil <b>illumine</b> la pièce.,Солнце <b>освещает</b> комнату.,☀️,v
un nazi,нацист,Un régime <b>nazi</b>.,<b>Нацистский</b> режим.,⚠️,m
retentir,греметь; звучать,Un cri <b>retentit</b>.,<b>Раздался</b> крик.,📢,v
un abîme,бездна,Au bord de l'<b>abîme</b>.,На краю <b>бездны</b>.,🕳️,m
une séparation,разлука,Une <b>séparation</b> douloureuse.,Болезненная <b>разлука</b>.,💔,f
contourner,обходить,<b>Contourne</b> l'obstacle.,<b>Обойди</b> препятствие.,🔄,v
un briquet,зажигалка,Allume avec le <b>briquet</b>.,Зажги <b>зажигалкой</b>.,🔥,m
un taureau,бык,Le <b>taureau</b> charge.,<b>Бык</b> атакует.,🐂,m
accabler,подавлять,La chaleur m'<b>accable</b>.,Жара меня <b>изнуряет</b>.,😓,v
un moral,моральное состояние,Garder le <b>moral</b>.,Сохранять <b>бодрость духа</b>.,😊,m
rouiller,ржаветь,Le fer <b>rouille</b>.,Железо <b>ржавеет</b>.,🔩,v
"un pompier, une pompière",пожарный,Les <b>pompiers</b> arrivent.,<b>Пожарные</b> приезжают.,🚒,m/f
une ambassade,посольство,L'<b>ambassade</b> de France.,<b>Посольство</b> Франции.,🏛️,f
"disparu, disparue",исчезнувший,La personne <b>disparue</b>.,<b>Пропавший</b> человек.,❓,adj
un champignon,гриб,Cueillir des <b>champignons</b>.,Собирать <b>грибы</b>.,🍄,m
un direct,прямой (удар),Un <b>direct</b> du gauche.,<b>Прямой</b> левой.,🥊,m
une hésitation,колебание,Sans <b>hésitation</b>.,Без <b>колебаний</b>.,🤔,f
"souriant, souriante",улыбающийся,Un visage <b>souriant</b>.,<b>Улыбающееся</b> лицо.,😊,adj
"inquiétant, inquiétante",тревожный,Une nouvelle <b>inquiétante</b>.,<b>Тревожная</b> новость.,😟,adj
une falaise,утёс,La <b>falaise</b> est haute.,<b>Утёс</b> высокий.,🏔️,f
une confidence,признание,Faire une <b>confidence</b>.,Сделать <b>признание</b>.,🤫,f
une rampe,перила; рампа,Tiens-toi à la <b>rampe</b>.,Держись за <b>перила</b>.,🪜,f
"commercial, commerciale",коммерческий,Un centre <b>commercial</b>.,Торговый <b>центр</b>.,🏬,adj
"glorieux, glorieuse",славный,Une victoire <b>glorieuse</b>.,<b>Славная</b> победа.,🏆,adj
une capote,шинель; презерватив,Mets une <b>capote</b>.,Надень <b>презерватив</b>.,🔒,f
affoler,пугать,Ne t'<b>affole</b> pas.,Не <b>паникуй</b>.,😱,v
"municipal, municipale",муниципальный,Le conseil <b>municipal</b>.,<b>Муниципальный</b> совет.,🏛️,adj
un monument,памятник,Un <b>monument</b> historique.,Исторический <b>памятник</b>.,🗿,m
un coussin,подушка,Un <b>coussin</b> de canapé.,Диванная <b>подушка</b>.,🛋️,m
une aura,аура,Elle a une <b>aura</b> mystérieuse.,У неё загадочная <b>аура</b>.,✨,f
une flaque,лужа,Une <b>flaque</b> d'eau.,<b>Лужа</b> воды.,💧,f
"impérial, impériale",имперский,Le palais <b>impérial</b>.,<b>Императорский</b> дворец.,👑,adj
un impôt,налог,Payer ses <b>impôts</b>.,Платить <b>налоги</b>.,💰,m
une confession,исповедь,Une <b>confession</b> sincère.,Искренняя <b>исповедь</b>.,⛪,f
un vivre,пропитание; жизнь,Le <b>vivre</b> et le couvert.,<b>Пропитание</b> и кров.,🏠,m
vouer,посвящать,<b>Vouer</b> sa vie à l'art.,<b>Посвятить</b> жизнь искусству.,🎨,v
une objection,возражение,Aucune <b>objection</b>.,Никаких <b>возражений</b>.,✋,f
une provision,запас,Faire des <b>provisions</b>.,Делать <b>запасы</b>.,🛒,f
une sieste,сиеста,Faire une <b>sieste</b>.,<b>Вздремнуть</b>.,😴,f
susciter,вызывать,<b>Susciter</b> l'intérêt.,<b>Вызывать</b> интерес.,💡,v
"aimé, aimée",любимый,Mon fils <b>aimé</b>.,Мой <b>любимый</b> сын.,❤️,adj
une punition,наказание,Une <b>punition</b> sévère.,Суровое <b>наказание</b>.,😔,f
photographier,фотографировать,J'aime <b>photographier</b>.,Я люблю <b>фотографировать</b>.,📷,v
un mannequin,манекен; модель,Un <b>mannequin</b> de vitrine.,Витринный <b>манекен</b>.,👤,m
engloutir,поглощать,Le tsunami a <b>englouti</b> la ville.,Цунами <b>поглотило</b> город.,🌊,v
un prophète,пророк,Les paroles du <b>prophète</b>.,Слова <b>пророка</b>.,📜,m
une phase,фаза,La première <b>phase</b>.,Первая <b>фаза</b>.,📊,f
supplémentaire,дополнительный,Un effort <b>supplémentaire</b>.,<b>Дополнительное</b> усилие.,➕,adj
un appart,квартира (разг.),Un petit <b>appart</b>.,Маленькая <b>квартирка</b>.,🏠,m
une bouffe,еда (разг.),On se fait une <b>bouffe</b> ?,Поедим?,🍔,f
"un méchant, une méchante",злодей,Le <b>méchant</b> du film.,<b>Злодей</b> фильма.,😈,m/f
"inférieur, inférieure",нижний,L'étage <b>inférieur</b>.,<b>Нижний</b> этаж.,⬇️,adj
un cognac,коньяк,Un verre de <b>cognac</b>.,Бокал <b>коньяка</b>.,🥃,m
une inspiration,вдохновение,Une source d'<b>inspiration</b>.,Источник <b>вдохновения</b>.,✨,f
une livraison,доставка,La <b>livraison</b> est gratuite.,<b>Доставка</b> бесплатная.,📦,f
un parquet,паркет,Un <b>parquet</b> en chêne.,Дубовый <b>паркет</b>.,🪵,m
un cran,зарубка; смелость,Il a du <b>cran</b>.,У него есть <b>смелость</b>.,💪,m
un idéal,идеал,Mon <b>idéal</b> de vie.,Мой <b>идеал</b> жизни.,✨,m
branler,дрочить (груб.); шатать,Qu'est-ce que tu <b>branles</b> ? (vulgaire),Чем ты <b>занимаешься</b>? (груб.),🤬,v
un pouls,пульс,Prendre le <b>pouls</b>.,Измерить <b>пульс</b>.,❤️,m
une hache,топор,Coupe avec la <b>hache</b>.,Руби <b>топором</b>.,🪓,f
une déesse,богиня,Une <b>déesse</b> grecque.,Греческая <b>богиня</b>.,👑,f
un délice,наслаждение,Quel <b>délice</b> !,Какое <b>наслаждение</b>!,😋,m
un bouclier,щит,Lève ton <b>bouclier</b>.,Подними <b>щит</b>.,🛡️,m
cultiver,выращивать,<b>Cultiver</b> des légumes.,<b>Выращивать</b> овощи.,🥕,v
rajouter,добавлять,<b>Rajoute</b> du sel.,<b>Добавь</b> соли.,🧂,v
botter,бить ногой,<b>Botter</b> le ballon.,<b>Пнуть</b> мяч.,⚽,v
"oublié, oubliée",забытый,Un ami <b>oublié</b>.,<b>Забытый</b> друг.,🤔,adj
"uni, unie",объединённый,Les Nations <b>Unies</b>.,<b>Объединённые</b> Нации.,🌍,adj
"actif, active",активный,Un mode de vie <b>actif</b>.,<b>Активный</b> образ жизни.,🏃,adj
un toast,тост,Porter un <b>toast</b>.,Произнести <b>тост</b>.,🥂,m
une gentillesse,доброта,Merci pour ta <b>gentillesse</b>.,Спасибо за твою <b>доброту</b>.,😊,f
une gorgée,глоток,Une <b>gorgée</b> d'eau.,<b>Глоток</b> воды.,💧,f
larguer,сбрасывать; бросать,<b>Largue</b> les amarres.,<b>Отдай</b> швартовы.,⚓,v
"insensé, insensée",безумный,Un projet <b>insensé</b>.,<b>Безумный</b> проект.,🤪,adj
un pull,свитер,Mets ton <b>pull</b>.,Надень <b>свитер</b>.,🧥,m
métallique,металлический,Un son <b>métallique</b>.,<b>Металлический</b> звук.,🔩,adj
fouetter,хлестать,Le vent <b>fouette</b> le visage.,Ветер <b>хлещет</b> по лицу.,💨,v
empoigner,хватать,<b>Empoigne</b> la corde.,<b>Хватай</b> верёвку.,✊,v
un do,нота до,Un <b>do</b> majeur.,<b>До</b> мажор.,🎵,m
un parcours,маршрут,Le <b>parcours</b> du marathon.,<b>Маршрут</b> марафона.,🏃,m
"maître, maîtresse",главный; ведущий,La pièce <b>maîtresse</b>.,<b>Главная</b> деталь.,🏆,adj
une considération,уважение,Avec toute ma <b>considération</b>.,С моим <b>уважением</b>.,🙏,f
quatrième,четвёртый,Le <b>quatrième</b> étage.,<b>Четвёртый</b> этаж.,4️⃣,adj
une bulle,пузырь,Une <b>bulle</b> de savon.,Мыльный <b>пузырь</b>.,🫧,f
rôder,бродить,Un chien qui <b>rôde</b>.,"Собака, которая <b>бродит</b>.",🐕,v
un dentiste,стоматолог,J'ai rendez-vous chez le <b>dentiste</b>.,У меня приём у <b>стоматолога</b>.,🦷,m
un travailleur,работник,Un <b>travailleur</b> acharné.,Усердный <b>работник</b>.,👷,m
un maquillage,макияж,Le <b>maquillage</b> est parfait.,<b>Макияж</b> идеален.,💄,m
un bisou,поцелуй (разг.),Un petit <b>bisou</b>.,Маленький <b>поцелуйчик</b>.,😘,m
"indien, indienne",индийский,La cuisine <b>indienne</b>.,<b>Индийская</b> кухня.,🇮🇳,adj
une association,ассоциация,Une <b>association</b> caritative.,Благотворительная <b>организация</b>.,🤝,f
un soulagement,облегчение,Quel <b>soulagement</b> !,Какое <b>облегчение</b>!,😌,m
rouvrir,снова открывать,Le magasin va <b>rouvrir</b>.,Магазин снова <b>откроется</b>.,🏪,v
une épaisseur,толщина,L'<b>épaisseur</b> du mur.,<b>Толщина</b> стены.,📏,f
gigantesque,гигантский,Un projet <b>gigantesque</b>.,<b>Гигантский</b> проект.,🗿,adj
un frein,тормоз,Appuie sur le <b>frein</b>.,Нажми на <b>тормоз</b>.,🚗,m
un supérieur,начальник,Mon <b>supérieur</b> hiérarchique.,Мой <b>начальник</b>.,👔,m
une gravité,серьёзность; гравитация,La <b>gravité</b> de la situation.,<b>Серьёзность</b> ситуации.,⚠️,f
un golf,гольф,Jouer au <b>golf</b>.,Играть в <b>гольф</b>.,⛳,m
ébranler,потрясать,Cette nouvelle m'a <b>ébranlé</b>.,Эта новость меня <b>потрясла</b>.,😮,v
démissionner,увольняться,Il a <b>démissionné</b>.,Он <b>уволился</b>.,📝,v
une perfection,совершенство,La <b>perfection</b> n'existe pas.,<b>Совершенства</b> не существует.,✨,f
funèbre,траурный,Une marche <b>funèbre</b>.,<b>Траурный</b> марш.,⚰️,adj
un loisir,досуг,Les <b>loisirs</b> du week-end.,<b>Досуг</b> на выходных.,🎮,m
une agitation,волнение,Une grande <b>agitation</b>.,Сильное <b>волнение</b>.,😰,f
